[221, 0.0011780261993408203]
[222, 0.0019373893737792969]
[223, 0.0013954639434814453]
[224, 0.0012297630310058594]
[225, 0.001219034194946289]
[226, 0.0012173652648925781]
[227, 0.0012428760528564453]
[228, 0.0019762516021728516]
[229, 0.0025658607482910156]
[230, 0.0019598007202148438]
[231, 0.002073526382446289]
[232, 0.002127408981323242]
[233, 0.0019795894622802734]
[234, 0.0012824535369873047]
[235, 0.0021276473999023438]
[236, 0.0019626617431640625]
[237, 0.0016410350799560547]
[238, 0.0012824535369873047]
[239, 0.001226663589477539]
[240, 0.0012602806091308594]
[241, 0.0012056827545166016]
[242, 0.0012333393096923828]
[243, 0.0013039112091064453]
[244, 0.0013115406036376953]
[245, 0.0012350082397460938]
[246, 0.0012383460998535156]
[247, 0.0012340545654296875]
[248, 0.001245260238647461]
[249, 0.0012409687042236328]
[250, 0.001260519027709961]
[251, 0.0012691020965576172]
[252, 0.0012454986572265625]
[253, 0.001268148422241211]
[254, 0.0012624263763427734]
[255, 0.0013015270233154297]
[256, 0.001300811767578125]
[257, 0.0012822151184082031]
[258, 0.001312255859375]
[259, 0.0013370513916015625]
[260, 0.0015494823455810547]
[261, 0.0013117790222167969]
[262, 0.0013256072998046875]
[263, 0.0013239383697509766]
[264, 0.0013506412506103516]
[265, 0.0013530254364013672]
[266, 0.0013899803161621094]
[267, 0.0013537406921386719]
[268, 0.0013778209686279297]
[269, 0.0013592243194580078]
[270, 0.0014066696166992188]
[271, 0.001369476318359375]
[272, 0.0013909339904785156]
[273, 0.0013921260833740234]
[274, 0.0014004707336425781]
[275, 0.001420736312866211]
[276, 0.0014617443084716797]
[277, 0.0014579296112060547]
[278, 0.0014238357543945312]
[279, 0.0015058517456054688]
[280, 0.0017626285552978516]
[281, 0.0027053356170654297]
[282, 0.0016410350799560547]
[283, 0.0015118122100830078]
[284, 0.0019207000732421875]
[285, 0.0015103816986083984]
[286, 0.0015306472778320312]
[287, 0.0014913082122802734]
[288, 0.0015120506286621094]
[289, 0.001672506332397461]
[290, 0.0015354156494140625]
[291, 0.0015027523040771484]
[292, 0.0015251636505126953]
[293, 0.0018684864044189453]
[294, 0.001588582992553711]
[295, 0.001573324203491211]
[296, 0.0016486644744873047]
[297, 0.0016214847564697266]
[298, 0.0015659332275390625]
[299, 0.0018186569213867188]
[300, 0.0015780925750732422]
[301, 0.0015864372253417969]
[302, 0.0015873908996582031]
[303, 0.0016143321990966797]
[304, 0.0016934871673583984]
[305, 0.0016341209411621094]
[306, 0.0016460418701171875]
[307, 0.001646280288696289]
[308, 0.0016624927520751953]
[309, 0.0018053054809570312]
[310, 0.0016326904296875]
[311, 0.001646280288696289]
[312, 0.0016927719116210938]
[313, 0.0016558170318603516]
[314, 0.0016846656799316406]
[315, 0.0017468929290771484]
[316, 0.0016891956329345703]
[317, 0.0017614364624023438]
[318, 0.0018455982208251953]
[319, 0.001756429672241211]
[320, 0.0017094612121582031]
[321, 0.001741170883178711]
[322, 0.0017778873443603516]
[323, 0.0017070770263671875]
[324, 0.0017971992492675781]
[325, 0.0017464160919189453]
[326, 0.001753091812133789]
[327, 0.0017693042755126953]
[328, 0.001970052719116211]
[329, 0.00176239013671875]
[330, 0.0017824172973632812]
[331, 0.001794576644897461]
[332, 0.0017521381378173828]
[333, 0.0018265247344970703]
[334, 0.001786947250366211]
